システム,算出方法,分類,プロダクト指標(外形)_ページ数_(頁),プロダクト指標(外形)_文字数_(文字),プロダクト指標(外形)_投下工数_(人月),プロダクト指標(外形)_生産性_(頁/人月),プロセス指標(レビュー)_回数_(回),プロセス指標(レビュー)_投下工数_(人時),プロセス指標(レビュー)_指摘件数_(件),レビュー_工数比率_(%),"1,000文字あたり_回数_(回)","1,000文字あたり_投下工数_工数(人時)","1,000文字あたり_指摘件数_(件)",1ページあたり_回数_(回),1ページあたり_投下工数_工数(人時),1ページあたり_指摘件数_(件),成果物作成1人月あたり_回数_(回),成果物作成1人月あたり_投下工数_工数(人時),成果物作成1人月あたり_指摘件数_(件),レビュー1時間あたり_指摘件数_(件)
システム１,合計値,全体,3355.0000000000,3872771.0000000000,59.2925000000,56.5838849770,242.0000000000,771.4450000000,781.0000000000,0.0752024347,0.0624875574,0.1991971640,0.2016643897,0.0721311475,0.2299388972,0.2327868852,3.7745247847,12.0323895559,12.1814208961,1.0123858473
システム１,合計値,新規,3258.0000000000,3825918.0000000000,58.2925000000,55.8905519578,238.0000000000,768.9450000000,781.0000000000,0.0761652558,0.0622072925,0.2009831366,0.2041340144,0.0730509515,0.2360174954,0.2397176182,3.7718860768,12.1864409214,12.3774917057,1.0156773241
システム１,合計値,修正,97.0000000000,46853.0000000000,1.0000000000,97.0000000000,4.0000000000,2.5000000000,0.0000000000,0.0153846154,0.0853734019,0.0533583762,0.0000000000,0.0412371134,0.0257731959,0.0000000000,3.9384615385,2.4615384615,0.0000000000,0.0000000000
システム１,中央値,全体,11.5000000000,4540.5000000000,0.0945000000,121.6931216931,1.0000000000,3.6666666667,4.0000000000,0.2564942181,0.4452191197,1.0872455461,0.5583403382,0.1666666667,0.3065185185,0.1666666667,18.4705022042,41.0390748931,35.2189074002,0.8571428571
システム１,中央値,新規,11.5000000000,4540.5000000000,0.0922500000,124.6612466125,1.0000000000,3.7083333333,4.0000000000,0.2564942181,0.4452191197,1.0872455461,0.5583403382,0.1666666667,0.3065185185,0.1666666667,18.4705022042,41.0390748931,35.2189074002,0.8571428571
システム１,中央値,修正,48.5000000000,23426.5000000000,0.5000000000,97.0000000000,2.0000000000,1.2500000000,0.0000000000,,,,,,,,,,,
システム１,平均値,全体,25.8076923077,29790.5461538462,0.4560961538,56.5838849770,1.8615384615,5.9341923077,6.0076923077,0.2829689098,4.2321357278,5.2734090870,5.0808059996,0.2715434414,0.7420713987,0.7282825546,29.8458535506,45.2750255612,44.7787472097,1.0707233182
システム１,平均値,新規,25.4531250000,29889.9843750000,0.4554101563,55.8905519578,1.8593750000,6.0073828125,6.1015625000,0.2829689098,4.2321357278,5.2734090870,5.0808059996,0.2715434414,0.7420713987,0.7282825546,29.8458535506,45.2750255612,44.7787472097,1.0707233182
システム１,平均値,修正,48.5000000000,23426.5000000000,0.5000000000,97.0000000000,2.0000000000,1.2500000000,0.0000000000,,,,,,,,,,,
システム２,合計値,全体,23.0000000000,12736.0000000000,0.2000000000,115.0000000000,3.0000000000,5.0000000000,0.0000000000,0.1351351351,0.2355527638,0.3925879397,0.0000000000,0.1304347826,0.2173913043,0.0000000000,12.9729729730,21.6216216216,0.0000000000,0.0000000000
システム２,合計値,新規,23.0000000000,12736.0000000000,0.2000000000,115.0000000000,3.0000000000,5.0000000000,0.0000000000,0.1351351351,0.2355527638,0.3925879397,0.0000000000,0.1304347826,0.2173913043,0.0000000000,12.9729729730,21.6216216216,0.0000000000,0.0000000000
システム２,合計値,修正,0.0000000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,
システム２,中央値,全体,3.0000000000,3983.0000000000,0.0500000000,60.0000000000,1.0000000000,2.0000000000,0.0000000000,0.1111111111,0.2510670349,0.3819709702,0.0000000000,0.3333333333,0.3333333333,0.0000000000,16.0000000000,17.7777777778,0.0000000000,0.0000000000
システム２,中央値,新規,3.0000000000,3983.0000000000,0.0500000000,60.0000000000,1.0000000000,2.0000000000,0.0000000000,0.1111111111,0.2510670349,0.3819709702,0.0000000000,0.3333333333,0.3333333333,0.0000000000,16.0000000000,17.7777777778,0.0000000000,0.0000000000
システム２,中央値,修正,,,,,,,,,,,,,,,,,,
システム２,平均値,全体,7.6666666667,4245.3333333333,0.0666666667,115.0000000000,1.0000000000,1.6666666667,0.0000000000,0.1407407407,0.2421285862,0.4005681607,0.0000000000,0.4619883041,0.8128654971,0.0000000000,14.2222222222,22.5185185185,0.0000000000,0.0000000000
システム２,平均値,新規,7.6666666667,4245.3333333333,0.0666666667,115.0000000000,1.0000000000,1.6666666667,0.0000000000,0.1407407407,0.2421285862,0.4005681607,0.0000000000,0.4619883041,0.8128654971,0.0000000000,14.2222222222,22.5185185185,0.0000000000,0.0000000000
システム２,平均値,修正,,,,,,,,,,,,,,,,,,
システム５,合計値,全体,16.0000000000,21248.0000000000,0.9200000000,17.3913043478,7.0000000000,4.0000000000,5.0000000000,0.0264550265,0.3294427711,0.1882530120,0.2353162651,0.4375000000,0.2500000000,0.3125000000,7.4074074074,4.2328042328,5.2910052910,1.2500000000
システム５,合計値,新規,16.0000000000,21248.0000000000,0.9200000000,17.3913043478,7.0000000000,4.0000000000,5.0000000000,0.0264550265,0.3294427711,0.1882530120,0.2353162651,0.4375000000,0.2500000000,0.3125000000,7.4074074074,4.2328042328,5.2910052910,1.2500000000
システム５,合計値,修正,0.0000000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,
システム５,中央値,全体,2.0000000000,6963.0000000000,0.1000000000,20.0000000000,3.0000000000,1.0000000000,2.0000000000,0.0588235294,0.4308487721,0.3590406434,0.2872325147,0.5000000000,0.2500000000,0.1666666667,18.8235294118,9.4117647059,2.5457438345,0.8000000000
システム５,中央値,新規,2.0000000000,6963.0000000000,0.1000000000,20.0000000000,3.0000000000,1.0000000000,2.0000000000,0.0588235294,0.4308487721,0.3590406434,0.2872325147,0.5000000000,0.2500000000,0.1666666667,18.8235294118,9.4117647059,2.5457438345,0.8000000000
システム５,中央値,修正,,,,,,,,,,,,,,,,,,
システム５,平均値,全体,5.3333333333,7082.6666666667,0.3066666667,17.3913043478,2.3333333333,1.3333333333,1.6666666667,0.0458452275,0.5483688597,0.2593763100,0.4718254051,0.7500000000,0.3194444444,0.5555555556,16.9591464271,7.3352364016,10.2603459841,1.2666666667
システム５,平均値,新規,5.3333333333,7082.6666666667,0.3066666667,17.3913043478,2.3333333333,1.3333333333,1.6666666667,0.0458452275,0.5483688597,0.2593763100,0.4718254051,0.7500000000,0.3194444444,0.5555555556,16.9591464271,7.3352364016,10.2603459841,1.2666666667
システム５,平均値,修正,,,,,,,,,,,,,,,,,,
